scenario_id,building_type,location,floor_count,total_area,structural_system,budget_level,sustainability_preference,climate_zone,climate_humidity,climate_salinity,climate_rainfall_mm,top_material_structural,top_material_walling,top_material_roofing,top_material_flooring,top_material_external_wall,overall_hybrid_score,engineering_score,ml_confidence,average_sustainability,decision_confidence_score,decision_confidence_level,engineering_weight,ml_weight,score_formula,structural_compatibility,climate_compatibility,sls_compliance,engine_structural_system,eco_rating,embodied_carbon_avg,lifecycle_avg,runtime_ms,api_status
S11,Residential,Kurunegala,3,320.0,Reinforced Concrete Frame,Premium,High,Intermediate Tropical,73%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Recycled Rubber Flat Roof Membrane,Polished Terrazzo Flooring (Marble Aggregate),N/A,75.6,80.2,61.9,80.0,88.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,80.0,N/A,N/A,2186.0,OK
S12,Residential,Hambantota,2,190.0,Reinforced Concrete Frame,Balanced,Medium,Dry Zone Tropical Arid,57%,High,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Zinc-Aluminium Corrugated Sheet (55% Al-Zn),Polished Terrazzo Flooring (Marble Aggregate),N/A,83.2,90.8,60.2,65.6,86.7,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,65.6,N/A,N/A,2170.0,OK
S13,Office,Colombo,5,750.0,Reinforced Concrete Frame,Premium,High,Moderate Coastal Humid,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,72.0,81.5,43.5,70.4,87.0,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,70.4,N/A,N/A,9472.7,OK
S14,Office,Galle,3,480.0,Steel Frame,Balanced,Medium,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,73.3,80.3,52.4,72.6,83.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,72.6,N/A,N/A,4316.8,OK
S15,Office,Jaffna,2,350.0,Reinforced Concrete Frame,Budget,Low,Extreme Coastal Saline,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,75.0,82.1,53.7,71.0,87.1,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,71.0,N/A,N/A,9366.4,OK
S16,Office,Kandy,4,600.0,Reinforced Concrete Frame,Premium,High,Intermediate Tropical,67%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Polished Terrazzo Flooring (Marble Aggregate),N/A,62.8,68.5,45.4,80.0,84.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,80.0,N/A,N/A,11694.7,OK
S17,Office,Negombo,2,400.0,Steel Frame,Balanced,Medium,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,74.0,81.1,52.7,72.6,83.8,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,72.6,N/A,N/A,12965.4,OK
S18,Office,Matara,3,520.0,Reinforced Concrete Frame,Balanced,Medium,Moderate Coastal Humid,66%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,74.3,81.5,52.8,70.4,87.0,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,70.4,N/A,N/A,4871.7,OK
S19,Office,Trincomalee,5,800.0,Steel Frame,Premium,High,Extreme Coastal Saline,50%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,70.9,80.2,42.8,72.0,83.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,72.0,N/A,N/A,5204.1,OK
S20,Office,Anuradhapura,2,380.0,Reinforced Concrete Frame,Budget,Low,Dry Zone Tropical Arid,60%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Zinc-Aluminium Corrugated Sheet (55% Al-Zn),Polished Terrazzo Flooring (Marble Aggregate),N/A,76.3,83.4,54.9,72.2,89.0,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,72.2,N/A,N/A,12303.4,OK
S21,Office,Kurunegala,4,650.0,Reinforced Concrete Frame,Premium,High,Intermediate Tropical,73%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Polished Terrazzo Flooring (Marble Aggregate),N/A,62.8,68.5,45.4,80.0,84.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,80.0,N/A,N/A,4492.0,OK
S22,Office,Batticaloa,3,450.0,Reinforced Concrete Frame,Balanced,Medium,Extreme Coastal Saline,51%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,74.1,81.4,52.3,69.8,86.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,69.8,N/A,N/A,4932.7,OK
S23,Commercial,Colombo,6,1200.0,Reinforced Concrete Frame,Premium,High,Moderate Coastal Humid,75%,Extreme,N/A,N/A,Fly-Ash Composite Block,Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,78.8,87.3,53.3,66.4,88.7,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,66.4,N/A,N/A,13525.6,OK
S24,Commercial,Galle,3,800.0,Steel Frame,Balanced,Medium,Moderate Coastal Humid,73%,Extreme,N/A,N/A,High-Density Cement Block,Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,80.2,86.8,60.5,64.7,85.5,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,64.7,N/A,N/A,12312.7,OK
S25,Commercial,Negombo,4,950.0,Reinforced Concrete Frame,Premium,High,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Fly-Ash Composite Block,Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,80.1,88.2,55.8,66.4,88.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,66.4,N/A,N/A,11983.7,OK
S26,Commercial,Jaffna,2,600.0,Reinforced Concrete Frame,Budget,Low,Extreme Coastal Saline,75%,Extreme,N/A,N/A,High-Density Cement Block,Crystalline Slurry Waterproofing (Penetrating),Porcelain GVT Slab (Full-Body Vitrified),N/A,81.3,87.9,61.5,59.2,88.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,59.2,N/A,N/A,12060.0,OK
S27,Commercial,Kandy,5,1100.0,Reinforced Concrete Frame,Premium,High,Intermediate Tropical,67%,Low,N/A,N/A,Fly-Ash Composite Block,Crystalline Slurry Waterproofing (Penetrating),Polished Terrazzo Flooring (Marble Aggregate),N/A,70.3,75.8,53.9,66.6,86.7,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,66.6,N/A,N/A,12602.1,OK
S28,Commercial,Matara,3,700.0,Steel Frame,Balanced,Medium,Moderate Coastal Humid,66%,Extreme,N/A,N/A,High-Density Cement Block,Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,80.2,86.8,60.5,64.7,85.5,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,64.7,N/A,N/A,5002.7,OK
S29,Commercial,Hambantota,2,500.0,Reinforced Concrete Frame,Budget,Low,Dry Zone Tropical Arid,57%,High,N/A,N/A,High-Density Cement Block,Zinc-Aluminium Corrugated Sheet (55% Al-Zn),Polished Terrazzo Flooring (Marble Aggregate),N/A,80.1,86.3,61.6,55.5,86.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,55.5,N/A,N/A,4816.5,OK
S30,Commercial,Trincomalee,4,900.0,Reinforced Concrete Frame,Balanced,Medium,Extreme Coastal Saline,50%,Extreme,N/A,N/A,High-Density Cement Block,Crystalline Slurry Waterproofing (Penetrating),Porcelain GVT Slab (Full-Body Vitrified),N/A,80.8,87.9,59.5,59.2,88.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,59.2,N/A,N/A,12812.2,OK
S31,School,Colombo,3,1500.0,Reinforced Concrete Frame,Balanced,High,Moderate Coastal Humid,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,75.3,83.6,50.4,66.2,87.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,66.2,N/A,N/A,12484.3,OK
S32,School,Kandy,2,1200.0,Reinforced Concrete Frame,Budget,Medium,Intermediate Tropical,67%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Portuguese Clay Tile (Unglazed Terracotta),Polished Terrazzo Flooring (Marble Aggregate),N/A,70.4,76.1,53.3,65.6,86.8,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,65.6,N/A,N/A,12377.0,OK
S33,School,Jaffna,2,1000.0,Reinforced Concrete Frame,Budget,Low,Extreme Coastal Saline,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,76.8,84.8,53.0,66.9,87.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,66.9,N/A,N/A,4754.8,OK
S34,School,Galle,3,1400.0,Reinforced Concrete Frame,Balanced,High,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,75.3,83.6,50.4,66.2,87.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,66.2,N/A,N/A,4680.7,OK
S35,School,Anuradhapura,2,1100.0,Reinforced Concrete Frame,Budget,Medium,Dry Zone Tropical Arid,54%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Standard Cement Tile (Concrete Interlocking),Polished Terrazzo Flooring (Marble Aggregate),N/A,79.7,88.3,53.9,64.4,90.5,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,64.4,N/A,N/A,4669.0,OK
S36,School,Batticaloa,2,900.0,Reinforced Concrete Frame,Balanced,Medium,Extreme Coastal Saline,51%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,76.6,84.8,52.2,66.9,87.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,66.9,N/A,N/A,4832.3,OK
S37,Warehouse,Colombo,1,2000.0,Steel Frame,Balanced,Low,Moderate Coastal Humid,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,74.3,81.1,54.0,72.6,83.8,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,72.6,N/A,N/A,12901.0,OK
S38,Warehouse,Galle,1,1500.0,Steel Frame,Budget,Low,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,74.3,81.1,54.0,72.6,83.8,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,72.6,N/A,N/A,4866.4,OK
S39,Warehouse,Hambantota,1,3000.0,Steel Frame,Balanced,Low,Dry Zone Tropical Arid,57%,High,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Zinc-Aluminium Corrugated Sheet (55% Al-Zn),Polished Terrazzo Flooring (Marble Aggregate),N/A,73.3,79.7,54.0,64.2,81.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,64.2,N/A,N/A,4817.5,OK
S40,Warehouse,Trincomalee,1,2500.0,Reinforced Concrete Frame,Premium,Medium,Extreme Coastal Saline,50%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,74.9,82.1,53.5,71.0,87.1,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,71.0,N/A,N/A,12747.4,OK
S41,Warehouse,Jaffna,1,1800.0,Steel Frame,Budget,Low,Extreme Coastal Saline,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,74.0,80.8,53.8,73.1,83.7,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,73.1,N/A,N/A,9760.7,OK
S42,Warehouse,Kurunegala,1,2200.0,Reinforced Concrete Frame,Balanced,Medium,Intermediate Tropical,73%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Recycled Rubber Flat Roof Membrane,Recycled Composite Decking (WPC),N/A,65.4,68.9,54.9,80.6,86.5,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,80.6,N/A,N/A,12751.0,OK
S43,Hotel,Colombo,10,5000.0,Reinforced Concrete Frame,Premium,High,Moderate Coastal Humid,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,75.1,87.6,37.5,67.6,88.8,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,67.6,N/A,N/A,12481.0,OK
S44,Hotel,Galle,5,2500.0,Reinforced Concrete Frame,Premium,High,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,76.7,88.1,42.7,67.6,88.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,67.6,N/A,N/A,12886.7,OK
S45,Hotel,Negombo,8,4000.0,Reinforced Concrete Frame,Premium,High,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,75.4,87.6,38.9,67.6,88.8,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,67.6,N/A,N/A,12456.5,OK
S46,Hotel,Kandy,4,2000.0,Reinforced Concrete Frame,Balanced,Medium,Intermediate Tropical,67%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Bentonite Clay Waterproofing Panel,Polished Terrazzo Flooring (Marble Aggregate),N/A,68.1,75.8,45.1,73.8,86.7,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,73.8,N/A,N/A,14899.8,OK
S47,Hotel,Trincomalee,6,3000.0,Reinforced Concrete Frame,Premium,High,Extreme Coastal Saline,50%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Porcelain GVT Slab (Full-Body Vitrified),N/A,76.0,87.3,42.1,64.5,88.7,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,64.5,N/A,N/A,13899.9,OK
S48,Hospital,Colombo,6,8000.0,Reinforced Concrete Frame,Premium,High,Moderate Coastal Humid,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,71.5,81.0,43.0,70.4,86.8,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,70.4,N/A,N/A,5014.8,OK
S49,Hospital,Kandy,4,5000.0,Reinforced Concrete Frame,Balanced,Medium,Intermediate Tropical,67%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,63.0,68.5,46.4,79.4,84.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,79.4,N/A,N/A,17498.8,OK
S50,Hospital,Jaffna,3,3500.0,Reinforced Concrete Frame,Budget,Medium,Extreme Coastal Saline,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Rubber Flooring (Recycled Automotive),N/A,74.1,81.4,52.3,69.8,86.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,69.8,N/A,N/A,5232.9,OK
