row_id,material_name,category,subcategory,building_phase,climate_zone,sector,actual_floor_count,building_area_m2,budget_tier,maintenance_preference,sustainability_priority,user_priority,climate_exposure_level,coastal_exposure,humidity_exposure,max_recommended_floors,compressive_strength_mpa,thermal_performance_score,moisture_resistance_score,corrosion_resistance_score,fire_resistance_score,durability_score,maintenance_score,sustainability_score,carbon_footprint_kgco2e,service_life_years,suitable_for_coastal,suitable_for_wet_zone,suitable_for_dry_zone,suitable_for_highland,recommended_for_residential,recommended_for_commercial,recommended_for_industrial,recommended,recommendation_score,decision_reasons
GCA000011,Curtain Wall Systems,Envelope Systems,Glazed Facade,Facade,Coastal,Industrial,8,80,Premium,Premium Finish,High,Durability,High,1,1,40,0,55,90,73,52,79,68,54,1200,35,1,1,1,1,0,1,0,1,65,PASS:coastal_rated_material; FAIL:not_recommended_for_industrial_sector; PASS:floors_well_within_material_capacity
GCA000012,Curtain Wall Systems,Envelope Systems,Glazed Facade,Facade,Coastal,Industrial,42,120,Premium,Premium Finish,High,Durability,High,1,1,40,0,55,90,73,52,79,68,54,1200,35,1,1,1,1,0,1,0,0,45,PASS:coastal_rated_material; FAIL:not_recommended_for_industrial_sector; FAIL:floors_42_exceeds_material_limit_40
GCA000013,Burnt Clay Brick,Wall Systems,Masonry Unit,Superstructure,Intermediate,Commercial,4,10000,Low,Premium Finish,High,Cost,Medium,0,1,4,7,55,60,75,85,78,72,54,180,50,1,1,1,1,1,1,0,1,90,PASS:sector_compatible_commercial; PASS:floors_within_material_capacity
GCA000014,Burnt Clay Brick,Wall Systems,Masonry Unit,Superstructure,Intermediate,Commercial,10,350,Low,Premium Finish,High,Cost,Medium,0,1,4,7,55,60,75,85,78,72,54,180,50,1,1,1,1,1,1,0,0,40,PASS:sector_compatible_commercial; FAIL:floors_10_exceeds_material_limit_4; WARN:masonry_wall_approaching_floor_count_limit
GCA000015,Timber Window,Openings,Window Frame,Superstructure,Dry Zone,Residential,1,800,Medium,Low Maintenance,Medium,Cost,Low,0,0,5,0,72,35,58,42,52,44,52,80,18,0,0,1,1,1,0,0,1,67,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity; FAIL:low_maintenance_pref_but_high_maintenance_material; WARN:short_service_life_incompatible_with_low_maintenance_pref
GCA000016,Timber Window,Openings,Window Frame,Superstructure,Dry Zone,Residential,20,1500,Medium,Low Maintenance,Medium,Cost,Low,0,0,5,0,72,35,58,42,52,44,52,80,18,0,0,1,1,1,0,0,0,17,PASS:sector_compatible_residential; FAIL:floors_20_exceeds_material_limit_5; FAIL:low_maintenance_pref_but_high_maintenance_material; WARN:short_service_life_incompatible_with_low_maintenance_pref
GCA000017,ACP Panels,Envelope Systems,Cladding,Facade,Coastal,Industrial,1,350,Low,Low Maintenance,Low,Durability,High,1,1,40,0,55,87,68,38,71,82,45,850,25,1,1,1,1,0,1,1,1,80,PASS:coastal_rated_material; PASS:sector_compatible_industrial; PASS:floors_well_within_material_capacity; WARN:high_carbon_material_vs_low_budget
GCA000018,ACP Panels,Envelope Systems,Cladding,Facade,Coastal,Industrial,42,80,Low,Low Maintenance,Low,Durability,High,1,1,40,0,55,87,68,38,71,82,45,850,25,1,1,1,1,0,1,1,0,60,PASS:coastal_rated_material; PASS:sector_compatible_industrial; FAIL:floors_42_exceeds_material_limit_40; WARN:high_carbon_material_vs_low_budget
GCA000019,Mass Concrete,Structural,Plain Concrete,Foundation,Wet Zone,Residential,1,3000,Low,Balanced,Low,Sustainability,Medium,0,1,3,15,30,69,60,88,68,85,42,210,35,1,1,1,1,1,1,1,1,85,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity
GCA000020,Mass Concrete,Structural,Plain Concrete,Foundation,Wet Zone,Residential,5,350,Low,Balanced,Low,Sustainability,Medium,0,1,3,15,30,69,60,88,68,85,42,210,35,1,1,1,1,1,1,1,1,65,PASS:sector_compatible_residential; FAIL:floors_5_exceeds_material_limit_3
GCA000021,Interlocking Block,Wall Systems,Concrete Block,Superstructure,Wet Zone,Industrial,2,350,Medium,Premium Finish,Medium,Cost,Medium,0,1,3,6,52,66,70,85,70,78,60,140,40,0,1,1,1,1,0,0,1,56,FAIL:not_recommended_for_industrial_sector; PASS:floors_within_material_capacity; PASS:carbon_cost_matches_budget_tier
GCA000022,Interlocking Block,Wall Systems,Concrete Block,Superstructure,Wet Zone,Industrial,7,10000,Medium,Premium Finish,Medium,Cost,Medium,0,1,3,6,52,66,70,85,70,78,60,140,40,0,1,1,1,1,0,0,0,31,FAIL:not_recommended_for_industrial_sector; FAIL:floors_7_exceeds_material_limit_3; PASS:carbon_cost_matches_budget_tier
GCA000023,Insulated Sandwich Panels,Envelope Systems,Wall Panel,Facade,Highland,Commercial,8,120,Premium,Low Maintenance,High,Cost,Medium,0,0,15,0,91,78,65,62,73,79,62,700,30,0,1,1,1,0,1,1,1,83,PASS:sector_compatible_commercial; PASS:floors_within_material_capacity
GCA000024,Insulated Sandwich Panels,Envelope Systems,Wall Panel,Facade,Highland,Commercial,18,80,Premium,Low Maintenance,High,Cost,Medium,0,0,15,0,91,78,65,62,73,79,62,700,30,0,1,1,1,0,1,1,1,63,PASS:sector_compatible_commercial; FAIL:floors_18_exceeds_material_limit_15
GCA000025,Cement Plaster,Finishing,Render,Finishing,Highland,Commercial,2,10000,Medium,Balanced,High,Performance,Medium,0,0,40,5,54,62,65,83,68,65,56,70,20,1,1,1,1,1,1,1,1,90,PASS:sector_compatible_commercial; PASS:floors_well_within_material_capacity
GCA000026,Cement Plaster,Finishing,Render,Finishing,Highland,Commercial,42,200,Medium,Balanced,High,Performance,Medium,0,0,40,5,54,62,65,83,68,65,56,70,20,1,1,1,1,1,1,1,1,70,PASS:sector_compatible_commercial; FAIL:floors_42_exceeds_material_limit_40
GCA000027,Reinforced Concrete Grade 30,Structural,Cast-in-situ Concrete,Structure,Intermediate,Industrial,7,120,Low,Premium Finish,Medium,Cost,Medium,0,1,20,30,35,75,70,92,85,83,40,320,60,1,1,1,1,1,1,1,1,93,PASS:sector_compatible_industrial; PASS:floors_well_within_material_capacity
GCA000028,Reinforced Concrete Grade 30,Structural,Cast-in-situ Concrete,Structure,Intermediate,Industrial,25,5000,Low,Premium Finish,Medium,Cost,Medium,0,1,20,30,35,75,70,92,85,83,40,320,60,1,1,1,1,1,1,1,1,58,PASS:sector_compatible_industrial; FAIL:floors_25_exceeds_material_limit_20
GCA000029,Burnt Clay Brick,Wall Systems,Masonry Unit,Superstructure,Intermediate,Industrial,2,500,Premium,Low Maintenance,Low,Sustainability,Medium,0,1,4,7,55,60,75,85,78,76,50,180,50,1,1,1,1,1,1,0,1,53,FAIL:not_recommended_for_industrial_sector; PASS:floors_well_within_material_capacity
GCA000030,Burnt Clay Brick,Wall Systems,Masonry Unit,Superstructure,Intermediate,Industrial,7,80,Premium,Low Maintenance,Low,Sustainability,Medium,0,1,4,7,55,60,75,85,78,76,50,180,50,1,1,1,1,1,1,0,0,13,FAIL:not_recommended_for_industrial_sector; FAIL:floors_7_exceeds_material_limit_4; WARN:masonry_wall_approaching_floor_count_limit
GCA000031,Terrazzo,Finishing,Floor Finish,Finishing,Wet Zone,Commercial,1,120,Premium,Premium Finish,High,Durability,Medium,0,1,40,35,42,84,82,90,90,75,64,100,50,1,1,1,1,1,1,1,1,100,PASS:sector_compatible_commercial; PASS:floors_well_within_material_capacity
GCA000032,Terrazzo,Finishing,Floor Finish,Finishing,Wet Zone,Commercial,42,350,Premium,Premium Finish,High,Durability,Medium,0,1,40,35,42,84,82,90,90,75,64,100,50,1,1,1,1,1,1,1,1,80,PASS:sector_compatible_commercial; FAIL:floors_42_exceeds_material_limit_40
GCA000033,AAC Block,Wall Systems,Lightweight Block,Superstructure,Highland,Commercial,5,800,Premium,Premium Finish,Low,Sustainability,Medium,0,0,5,4,88,45,70,88,65,78,68,110,40,0,0,1,1,1,1,0,1,92,PASS:sector_compatible_commercial; PASS:floors_within_material_capacity
GCA000034,AAC Block,Wall Systems,Lightweight Block,Superstructure,Highland,Commercial,18,500,Premium,Premium Finish,Low,Sustainability,Medium,0,0,5,4,88,45,70,88,65,78,68,110,40,0,0,1,1,1,1,0,0,47,PASS:sector_compatible_commercial; FAIL:floors_18_exceeds_material_limit_5
GCA000035,Aluminium Sliding Door,Openings,Door,Superstructure,Coastal,Commercial,25,1500,Low,Balanced,High,Durability,High,1,1,40,0,30,95,78,45,84,88,62,1100,35,1,1,1,1,1,1,0,1,82,PASS:coastal_rated_material; PASS:sector_compatible_commercial; PASS:floors_within_material_capacity; WARN:high_carbon_material_vs_low_budget
GCA000036,Aluminium Sliding Door,Openings,Door,Superstructure,Coastal,Commercial,42,80,Low,Balanced,High,Durability,High,1,1,40,0,30,95,78,45,84,88,62,1100,35,1,1,1,1,1,1,0,0,67,PASS:coastal_rated_material; PASS:sector_compatible_commercial; FAIL:floors_42_exceeds_material_limit_40; WARN:high_carbon_material_vs_low_budget
GCA000037,Precast Concrete,Structural,Precast,Structure,Highland,Commercial,3,120,Medium,Balanced,Low,Performance,Medium,0,0,15,35,44,78,70,95,88,85,55,260,60,1,1,1,1,1,1,1,1,100,PASS:sector_compatible_commercial; PASS:floors_well_within_material_capacity; PASS:carbon_cost_matches_budget_tier
GCA000038,Precast Concrete,Structural,Precast,Structure,Highland,Commercial,25,500,Medium,Balanced,Low,Performance,Medium,0,0,15,35,44,78,70,95,88,85,55,260,60,1,1,1,1,1,1,1,1,61,PASS:sector_compatible_commercial; FAIL:floors_25_exceeds_material_limit_15; PASS:carbon_cost_matches_budget_tier
GCA000039,Reinforced Concrete Grade 25,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Industrial,4,5000,Premium,Balanced,Medium,Cost,Medium,0,1,10,25,35,76,68,90,78,82,43,280,50,1,1,1,1,1,1,1,1,88,PASS:sector_compatible_industrial; PASS:floors_well_within_material_capacity
GCA000040,Reinforced Concrete Grade 25,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Industrial,18,80,Premium,Balanced,Medium,Cost,Medium,0,1,10,25,35,76,68,90,78,82,43,280,50,1,1,1,1,1,1,1,0,38,PASS:sector_compatible_industrial; FAIL:floors_18_exceeds_material_limit_10
GCA000041,Reinforced Concrete Grade 20,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Industrial,3,120,Medium,Premium Finish,Low,Cost,Medium,0,1,5,20,35,74,65,90,73,80,45,250,40,1,1,1,1,1,1,1,1,96,PASS:sector_compatible_industrial; PASS:floors_within_material_capacity; PASS:carbon_cost_matches_budget_tier
GCA000042,Reinforced Concrete Grade 20,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Industrial,20,120,Medium,Premium Finish,Low,Cost,Medium,0,1,5,20,35,74,65,90,73,80,45,250,40,1,1,1,1,1,1,1,0,6,PASS:sector_compatible_industrial; FAIL:floors_20_exceeds_material_limit_5; PASS:carbon_cost_matches_budget_tier; FAIL:structural_grade_insufficient_for_floor_count; FAIL:high_rise_requires_min_grade_30_concrete
GCA000043,Cement Plaster,Finishing,Render,Finishing,Wet Zone,Residential,25,80,Premium,Low Maintenance,Medium,Performance,Medium,0,1,40,5,48,66,65,83,63,69,52,70,20,1,1,1,1,1,1,1,1,80,PASS:sector_compatible_residential; PASS:floors_within_material_capacity; INFO:low-cost_material_possibly_underspec_for_premium
GCA000044,Cement Plaster,Finishing,Render,Finishing,Wet Zone,Residential,42,500,Premium,Low Maintenance,Medium,Performance,Medium,0,1,40,5,48,66,65,83,63,69,52,70,20,1,1,1,1,1,1,1,1,65,PASS:sector_compatible_residential; FAIL:floors_42_exceeds_material_limit_40; INFO:low-cost_material_possibly_underspec_for_premium
GCA000045,Burnt Clay Brick,Wall Systems,Masonry Unit,Superstructure,Dry Zone,Residential,3,120,Low,Low Maintenance,Low,Durability,Low,0,0,4,7,55,57,75,85,86,76,50,180,50,1,1,1,1,1,1,0,1,94,PASS:sector_compatible_residential; PASS:floors_within_material_capacity
GCA000046,Burnt Clay Brick,Wall Systems,Masonry Unit,Superstructure,Dry Zone,Residential,5,800,Low,Low Maintenance,Low,Durability,Low,0,0,4,7,55,57,75,85,86,76,50,180,50,1,1,1,1,1,1,0,1,69,PASS:sector_compatible_residential; FAIL:floors_5_exceeds_material_limit_4; WARN:masonry_wall_approaching_floor_count_limit
GCA000047,Aluminium Window,Openings,Window Frame,Superstructure,Highland,Residential,18,120,Low,Balanced,Low,Cost,Medium,0,0,40,0,36,90,90,50,88,88,60,950,35,1,1,1,1,1,1,1,1,78,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity; WARN:high_carbon_material_vs_low_budget
GCA000048,Aluminium Window,Openings,Window Frame,Superstructure,Highland,Residential,42,120,Low,Balanced,Low,Cost,Medium,0,0,40,0,36,90,90,50,88,88,60,950,35,1,1,1,1,1,1,1,0,58,PASS:sector_compatible_residential; FAIL:floors_42_exceeds_material_limit_40; WARN:high_carbon_material_vs_low_budget
GCA000049,Aluminium Sliding Door,Openings,Door,Superstructure,Wet Zone,Commercial,12,10000,Low,Premium Finish,High,Performance,Medium,0,1,40,0,30,94,90,48,83,88,62,1100,35,1,1,1,1,1,1,0,1,73,PASS:sector_compatible_commercial; PASS:floors_well_within_material_capacity; WARN:high_carbon_material_vs_low_budget
GCA000050,Aluminium Sliding Door,Openings,Door,Superstructure,Wet Zone,Commercial,42,1500,Low,Premium Finish,High,Performance,Medium,0,1,40,0,30,94,90,48,83,88,62,1100,35,1,1,1,1,1,1,0,0,53,PASS:sector_compatible_commercial; FAIL:floors_42_exceeds_material_limit_40; WARN:high_carbon_material_vs_low_budget
GCA000051,Ceramic Tile,Finishing,Ceramic Floor/Wall,Finishing,Wet Zone,Industrial,1,3000,Low,Premium Finish,Low,Durability,Medium,0,1,40,15,38,82,78,88,74,80,50,80,30,1,1,1,1,1,1,0,1,56,FAIL:not_recommended_for_industrial_sector; PASS:floors_well_within_material_capacity
GCA000052,Ceramic Tile,Finishing,Ceramic Floor/Wall,Finishing,Wet Zone,Industrial,42,1500,Low,Premium Finish,Low,Durability,Medium,0,1,40,15,38,82,78,88,74,80,50,80,30,1,1,1,1,1,1,0,0,36,FAIL:not_recommended_for_industrial_sector; FAIL:floors_42_exceeds_material_limit_40
GCA000053,Terrazzo,Finishing,Floor Finish,Finishing,Highland,Residential,12,500,Premium,Balanced,High,Sustainability,Medium,0,0,40,35,48,80,82,90,91,75,64,100,50,1,1,1,1,1,1,1,1,100,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity
GCA000054,Terrazzo,Finishing,Floor Finish,Finishing,Highland,Residential,42,3000,Premium,Balanced,High,Sustainability,Medium,0,0,40,35,48,80,82,90,91,75,64,100,50,1,1,1,1,1,1,1,1,80,PASS:sector_compatible_residential; FAIL:floors_42_exceeds_material_limit_40
GCA000055,Timber Door,Openings,Door,Superstructure,Wet Zone,Residential,8,1500,Premium,Balanced,High,Performance,Medium,0,1,10,0,68,42,58,41,48,45,59,70,18,0,0,1,1,1,0,0,0,0,FAIL:material_not_suitable_wet_zone; PASS:sector_compatible_residential; PASS:floors_within_material_capacity; INFO:low-cost_material_possibly_underspec_for_premium; FAIL:timber_door_moisture_damage_coastal_wet_zone
GCA000056,Timber Door,Openings,Door,Superstructure,Wet Zone,Residential,25,1500,Premium,Balanced,High,Performance,Medium,0,1,10,0,68,42,58,41,48,45,59,70,18,0,0,1,1,1,0,0,0,0,FAIL:material_not_suitable_wet_zone; PASS:sector_compatible_residential; FAIL:floors_25_exceeds_material_limit_10; INFO:low-cost_material_possibly_underspec_for_premium; FAIL:timber_door_moisture_damage_coastal_wet_zone
GCA000057,Fire Rated Door,Openings,Door,Superstructure,Coastal,Industrial,1,500,Premium,Balanced,Low,Performance,High,1,1,40,0,50,75,56,98,75,72,48,300,30,1,1,1,1,0,1,1,1,95,PASS:coastal_rated_material; PASS:sector_compatible_industrial; PASS:floors_well_within_material_capacity
GCA000058,Fire Rated Door,Openings,Door,Superstructure,Coastal,Industrial,42,5000,Premium,Balanced,Low,Performance,High,1,1,40,0,50,75,56,98,75,72,48,300,30,1,1,1,1,0,1,1,1,75,PASS:coastal_rated_material; PASS:sector_compatible_industrial; FAIL:floors_42_exceeds_material_limit_40
GCA000059,AAC Block,Wall Systems,Lightweight Block,Superstructure,Dry Zone,Industrial,3,200,Medium,Low Maintenance,Low,Performance,Medium,0,0,5,4,82,42,70,91,66,82,68,110,40,0,0,1,1,1,1,0,1,58,FAIL:not_recommended_for_industrial_sector; PASS:floors_within_material_capacity; PASS:carbon_cost_matches_budget_tier
GCA000060,AAC Block,Wall Systems,Lightweight Block,Superstructure,Dry Zone,Industrial,18,800,Medium,Low Maintenance,Low,Performance,Medium,0,0,5,4,82,42,70,91,66,82,68,110,40,0,0,1,1,1,1,0,0,13,FAIL:not_recommended_for_industrial_sector; FAIL:floors_18_exceeds_material_limit_5; PASS:carbon_cost_matches_budget_tier
GCA000061,Interlocking Block,Wall Systems,Concrete Block,Superstructure,Wet Zone,Industrial,2,80,Premium,Premium Finish,High,Sustainability,Medium,0,1,3,6,52,66,70,85,70,78,64,140,40,0,1,1,1,1,0,0,1,50,FAIL:not_recommended_for_industrial_sector; PASS:floors_within_material_capacity
GCA000062,Interlocking Block,Wall Systems,Concrete Block,Superstructure,Wet Zone,Industrial,10,500,Premium,Premium Finish,High,Sustainability,Medium,0,1,3,6,52,66,70,85,70,78,64,140,40,0,1,1,1,1,0,0,0,10,FAIL:not_recommended_for_industrial_sector; FAIL:floors_10_exceeds_material_limit_3
GCA000063,Reinforced Concrete Grade 30,Structural,Cast-in-situ Concrete,Structure,Intermediate,Industrial,3,500,Premium,Low Maintenance,High,Performance,Medium,0,1,20,30,35,75,70,95,85,87,44,320,60,1,1,1,1,1,1,1,1,95,PASS:sector_compatible_industrial; PASS:floors_well_within_material_capacity; PASS:low_maintenance_material_matches_preference; FAIL:high_sustainability_priority_but_low_score_material
GCA000064,Reinforced Concrete Grade 30,Structural,Cast-in-situ Concrete,Structure,Intermediate,Industrial,25,1500,Premium,Low Maintenance,High,Performance,Medium,0,1,20,30,35,75,70,95,85,87,44,320,60,1,1,1,1,1,1,1,0,60,PASS:sector_compatible_industrial; FAIL:floors_25_exceeds_material_limit_20; PASS:low_maintenance_material_matches_preference; FAIL:high_sustainability_priority_but_low_score_material
GCA000065,Mass Concrete,Structural,Plain Concrete,Foundation,Highland,Commercial,2,1500,Premium,Premium Finish,Medium,Durability,Medium,0,0,3,15,36,65,60,88,77,85,42,210,35,1,1,1,1,1,1,1,1,75,PASS:sector_compatible_commercial; PASS:floors_within_material_capacity
GCA000066,Mass Concrete,Structural,Plain Concrete,Foundation,Highland,Commercial,4,10000,Premium,Premium Finish,Medium,Durability,Medium,0,0,3,15,36,65,60,88,77,85,42,210,35,1,1,1,1,1,1,1,1,65,PASS:sector_compatible_commercial; FAIL:floors_4_exceeds_material_limit_3
GCA000067,Reinforced Concrete Grade 25,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Residential,5,5000,Premium,Balanced,Medium,Cost,Medium,0,1,10,25,35,76,68,90,78,82,43,280,50,1,1,1,1,1,1,1,1,88,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity
GCA000068,Reinforced Concrete Grade 25,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Residential,30,1500,Premium,Balanced,Medium,Cost,Medium,0,1,10,25,35,76,68,90,78,82,43,280,50,1,1,1,1,1,1,1,0,18,PASS:sector_compatible_residential; FAIL:floors_30_exceeds_material_limit_10; FAIL:high_rise_requires_min_grade_30_concrete
GCA000069,Timber Window,Openings,Window Frame,Superstructure,Dry Zone,Residential,1,800,Medium,Premium Finish,Medium,Sustainability,Low,0,0,5,0,72,35,58,42,52,40,52,80,18,0,0,1,1,1,0,0,1,72,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity; WARN:premium_finish_pref_material_not_aesthetic_grade
GCA000070,Timber Window,Openings,Window Frame,Superstructure,Dry Zone,Residential,20,500,Medium,Premium Finish,Medium,Sustainability,Low,0,0,5,0,72,35,58,42,52,40,52,80,18,0,0,1,1,1,0,0,0,22,PASS:sector_compatible_residential; FAIL:floors_20_exceeds_material_limit_5; WARN:premium_finish_pref_material_not_aesthetic_grade
GCA000071,Fire Rated Door,Openings,Door,Superstructure,Intermediate,Industrial,30,5000,Low,Premium Finish,Medium,Cost,Medium,0,1,40,0,50,70,68,95,80,72,48,300,30,1,1,1,1,0,1,1,1,88,PASS:sector_compatible_industrial; PASS:floors_within_material_capacity
GCA000072,Fire Rated Door,Openings,Door,Superstructure,Intermediate,Industrial,42,200,Low,Premium Finish,Medium,Cost,Medium,0,1,40,0,50,70,68,95,80,72,48,300,30,1,1,1,1,0,1,1,1,73,PASS:sector_compatible_industrial; FAIL:floors_42_exceeds_material_limit_40
GCA000073,Lime Cement Render,Finishing,Render,Finishing,Highland,Residential,8,120,Medium,Balanced,Low,Sustainability,Medium,0,0,40,3,58,60,62,78,65,68,65,55,25,0,1,1,1,1,0,0,1,97,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity
GCA000074,Lime Cement Render,Finishing,Render,Finishing,Highland,Residential,42,120,Medium,Balanced,Low,Sustainability,Medium,0,0,40,3,58,60,62,78,65,68,65,55,25,0,1,1,1,1,0,0,1,77,PASS:sector_compatible_residential; FAIL:floors_42_exceeds_material_limit_40
GCA000075,Ceramic Tile,Finishing,Ceramic Floor/Wall,Finishing,Wet Zone,Commercial,5,1500,Medium,Balanced,Medium,Cost,Medium,0,1,40,15,38,82,78,88,70,80,50,80,30,1,1,1,1,1,1,0,1,98,PASS:sector_compatible_commercial; PASS:floors_well_within_material_capacity
GCA000076,Ceramic Tile,Finishing,Ceramic Floor/Wall,Finishing,Wet Zone,Commercial,42,80,Medium,Balanced,Medium,Cost,Medium,0,1,40,15,38,82,78,88,70,80,50,80,30,1,1,1,1,1,1,0,1,78,PASS:sector_compatible_commercial; FAIL:floors_42_exceeds_material_limit_40
GCA000077,Timber Window,Openings,Window Frame,Superstructure,Dry Zone,Commercial,3,80,Low,Low Maintenance,High,Durability,Low,0,0,5,0,72,35,58,42,56,44,56,80,18,0,0,1,1,1,0,0,0,0,FAIL:not_recommended_for_commercial_sector; PASS:floors_within_material_capacity; FAIL:low_maintenance_pref_but_high_maintenance_material; FAIL:durability_priority_but_low_durability_material; WARN:short_service_life_incompatible_with_low_maintenance_pref
GCA000078,Timber Window,Openings,Window Frame,Superstructure,Dry Zone,Commercial,25,120,Low,Low Maintenance,High,Durability,Low,0,0,5,0,72,35,58,42,56,44,56,80,18,0,0,1,1,1,0,0,0,0,FAIL:not_recommended_for_commercial_sector; FAIL:floors_25_exceeds_material_limit_5; FAIL:low_maintenance_pref_but_high_maintenance_material; FAIL:durability_priority_but_low_durability_material; WARN:short_service_life_incompatible_with_low_maintenance_pref
GCA000079,Porcelain Tile,Finishing,Ceramic Floor/Wall,Finishing,Wet Zone,Commercial,12,800,Low,Low Maintenance,Medium,Sustainability,Medium,0,1,40,30,40,92,88,90,83,86,48,90,40,1,1,1,1,1,1,0,1,100,PASS:sector_compatible_commercial; PASS:floors_well_within_material_capacity; PASS:low_maintenance_material_matches_preference
GCA000080,Porcelain Tile,Finishing,Ceramic Floor/Wall,Finishing,Wet Zone,Commercial,42,800,Low,Low Maintenance,Medium,Sustainability,Medium,0,1,40,30,40,92,88,90,83,86,48,90,40,1,1,1,1,1,1,0,1,80,PASS:sector_compatible_commercial; FAIL:floors_42_exceeds_material_limit_40; PASS:low_maintenance_material_matches_preference
